day,max,diff
03-Dec-2020,766.33139,-39.3
04-Dec-2020,759.84246,-103.8
05-Dec-2020,775.29999,-119.3
06-Dec-2020,761.88466,-103.9
07-Dec-2020,746.28624,-86.3
08-Dec-2020,760.99929,-81.0
09-Dec-2020,803.10524,-115.1
10-Dec-2020,776.28121,-86.3
11-Dec-2020,768.27858,-74.3
12-Dec-2020,765.76294,-81.8
13-Dec-2020,762.79777,-80.8
14-Dec-2020,756.10307,-78.1
15-Dec-2020,731.39097,-83.4
16-Dec-2020,739.13286,-93.1
17-Dec-2020,705.92328,-74.9
18-Dec-2020,715.28792,-80.3
19-Dec-2020,735.07234,-106.1
20-Dec-2020,675.29202,-78.3
21-Dec-2020,677.09306,-74.1
22-Dec-2020,689.62459,-70.6
23-Dec-2020,717.11136,-100.1
24-Dec-2020,708.31554,-89.3
25-Dec-2020,690.00652,-69.0
26-Dec-2020,656.18652,-71.2
27-Dec-2020,660.96257,-74.0
28-Dec-2020,662.01881,-73.0
29-Dec-2020,659.00465,-68.0
30-Dec-2020,636.95907,-85.0
31-Dec-2020,544.88704,-102.9
01-Jan-2021,563.19556,-131.2
02-Jan-2021,489.18929,-73.2
03-Jan-2021,460.58737,-77.6
04-Jan-2021,434.66894,-8.7
05-Jan-2021,351.49061,-43.5
06-Jan-2021,331.21506,-71.2
07-Jan-2021,350.16683,-84.2
08-Jan-2021,358.19171,-88.2
09-Jan-2021,359.11471,-85.1
10-Jan-2021,360.95715,-91.0
11-Jan-2021,361.9877,-90.0
12-Jan-2021,0.0,0.0
13-Jan-2021,350.51924,-86.5
14-Jan-2021,350.58942,-72.6
15-Jan-2021,357.3991,-67.4
16-Jan-2021,333.93116,-41.9
17-Jan-2021,365.27018,-71.3
18-Jan-2021,372.91879,-74.9
19-Jan-2021,345.25882,-43.3
20-Jan-2021,382.26725,-78.3
21-Jan-2021,351.84143,-45.8
22-Jan-2021,378.05823,-72.1
23-Jan-2021,381.97882,-74.0
24-Jan-2021,349.13836,-43.1
25-Jan-2021,344.0716,-46.1
26-Jan-2021,339.18564,-49.2
27-Jan-2021,309.58988,-37.6
28-Jan-2021,0.0,0.0
29-Jan-2021,82.76269,87.2
30-Jan-2021,0.0,0.0
31-Jan-2021,0.0,0.0
01-Feb-2021,0.0,0.0
02-Feb-2021,0.0,0.0
03-Feb-2021,0.0,0.0
04-Feb-2021,0.0,0.0
05-Feb-2021,0.0,0.0
06-Feb-2021,0.0,0.0
08-Feb-2021,0.0,0.0
09-Feb-2021,0.0,0.0
10-Feb-2021,0.0,0.0
11-Feb-2021,0.0,0.0
12-Feb-2021,0.0,0.0
13-Feb-2021,0.0,0.0
14-Feb-2021,0.0,0.0
15-Feb-2021,0.0,0.0
16-Feb-2021,0.0,0.0
17-Feb-2021,0.0,0.0
18-Feb-2021,0.0,0.0
19-Feb-2021,0.0,0.0
20-Feb-2021,0.0,0.0
21-Feb-2021,0.0,0.0
22-Feb-2021,0.0,0.0
23-Feb-2021,0.0,0.0
24-Feb-2021,0.0,0.0
25-Feb-2021,0.0,0.0
28-Feb-2021,0.0,0.0
01-Mar-2021,0.0,0.0
02-Mar-2021,0.0,0.0
03-Mar-2021,0.0,0.0
04-Mar-2021,0.0,0.0
05-Mar-2021,0.0,0.0
06-Mar-2021,0.0,0.0
07-Mar-2021,0.0,0.0
08-Mar-2021,0.0,0.0
09-Mar-2021,0.0,0.0
10-Mar-2021,0.0,0.0
11-Mar-2021,0.0,0.0
12-Mar-2021,0.0,0.0
13-Mar-2021,0.0,0.0
14-Mar-2021,0.0,0.0
15-Mar-2021,0.0,0.0
16-Mar-2021,0.0,0.0
17-Mar-2021,0.0,0.0
18-Mar-2021,0.0,0.0
19-Mar-2021,229.86314,-39.9
20-Mar-2021,253.36455,-61.4
21-Mar-2021,252.56411,-47.6
22-Mar-2021,0.0,0.0
23-Mar-2021,0.0,0.0
24-Mar-2021,0.0,0.0
25-Mar-2021,0.0,0.0
26-Mar-2021,0.0,0.0
27-Mar-2021,209.91245,-29.9
28-Mar-2021,262.71033,-35.7
29-Mar-2021,284.78978,-55.8
30-Mar-2021,311.75651,-76.8
31-Mar-2021,330.04876,-79.0
01-Apr-2021,338.09147,-44.1
02-Apr-2021,415.43536,-92.4
03-Apr-2021,430.23381,-87.2
04-Apr-2021,459.90353,-94.9
05-Apr-2021,469.53746,-98.5
06-Apr-2021,491.58404,-91.6
07-Apr-2021,480.98139,-77.0
08-Apr-2021,520.54209,-102.5
09-Apr-2021,533.21808,-107.2
10-Apr-2021,548.9215,-116.9
11-Apr-2021,547.40064,-113.4
12-Apr-2021,543.26007,-105.3
13-Apr-2021,559.70313,-106.7
14-Apr-2021,564.14006,-103.1
15-Apr-2021,620.9454,-107.9
16-Apr-2021,661.58286,-111.6
17-Apr-2021,724.97893,-136.0
18-Apr-2021,732.7228,-137.7
19-Apr-2021,825.75405,-202.8
20-Apr-2021,856.29532,-225.3
21-Apr-2021,1001.92656,-355.9
22-Apr-2021,1004.74234,-322.7
23-Apr-2021,843.6435,-104.6
